,merk,price_total,price_cash,price_month,keterangan
0,2019        Mercedes-Benz               C        300 AMG        2.0,Rp        760.000.000,Rp 780.000.000 (Cash),"Rp 15,48 jt/bln",28.856 km Automatic Tangerang Selatan
1,2016        Mitsubishi               PAJERO SPORT        DAKAR 4X2        2.4,Rp        384.000.000,Rp 394.000.000 (Cash),"Rp 7,82 jt/bln",77.584 km Automatic Surabaya
2,2018        Mazda               CX-9                2.5,Rp        580.000.000,Rp 595.000.000 (Cash),"Rp 11,82 jt/bln",53.282 km Automatic Jakarta Utara
3,2020        BMW               X1        SDRIVE18I XLINE        1.5,Rp        653.000.000,Rp 670.000.000 (Cash),"Rp 13,30 jt/bln",35.681 km Automatic Jakarta Barat
4,2018        Mercedes-Benz               GLA        200 AMG        1.6,Rp        570.000.000,Rp 585.000.000 (Cash),"Rp 11,61 jt/bln",33.013 km Automatic Bekasi
5,2019        Mercedes-Benz               GLC        200 AMG NIGHT EDITION        2.0,Rp        901.000.000,Rp 925.000.000 (Cash),"Rp 18,36 jt/bln",28.333 km Automatic Jakarta Utara
6,,,,,
7,2018        Mazda               2        R SKYACTIV        1.5,Rp        196.000.000,Rp 202.000.000 (Cash),"Rp 3,99 jt/bln",57.383 km Automatic Bandung
8,2018        Toyota               KIJANG INNOVA        V        2.0,Rp        283.000.000,Rp 291.000.000 (Cash),"Rp 5,77 jt/bln",42.336 km Manual Malang
9,2018        Toyota               YARIS        S TRD        1.5,Rp        201.000.000,Rp 207.000.000 (Cash),"Rp 4,10 jt/bln",65.583 km Automatic Jakarta Pusat
10,2018        Honda               BRIO        SATYA E        1.2,Rp        124.000.000,Rp 128.000.000 (Cash),"Rp 2,53 jt/bln",76.641 km Manual Bogor
11,2018        Honda               JAZZ        RS        1.5,Rp        230.000.000,Rp 236.000.000 (Cash),"Rp 4,69 jt/bln",48.361 km Automatic Bogor
12,2019        Mitsubishi               XPANDER        SPORT        1.5,Rp        207.000.000,Rp 213.000.000 (Cash),"Rp 4,22 jt/bln",62.352 km Automatic Jakarta Barat
13,,,,,
14,2021        Toyota               RUSH        S TRD        1.5,Rp        233.000.000,Rp 239.000.000 (Cash),"Rp 4,75 jt/bln",24.305 km Manual Malang
15,2016        Honda               JAZZ        RS        1.5,Rp        204.000.000,Rp 210.000.000 (Cash),"Rp 4,16 jt/bln",50.623 km Automatic Bogor
16,2018        Honda               BRIO        SATYA E        1.2,Rp        126.000.000,Rp 130.000.000 (Cash),"Rp 2,57 jt/bln",67.102 km Manual Bandung
17,2017        Honda               JAZZ        RS        1.5,Rp        214.000.000,Rp 220.000.000 (Cash),"Rp 4,36 jt/bln",83.487 km Automatic Jakarta Barat
18,2019        Mitsubishi               XPANDER        CROSS        1.5,Rp        235.000.000,Rp 242.000.000 (Cash),"Rp 4,79 jt/bln",44.040 km Automatic Jakarta Selatan
19,2019        Toyota               VOXY                2.0,Rp        404.000.000,Rp 415.000.000 (Cash),"Rp 8,23 jt/bln",51.230 km Automatic Jakarta Selatan
20,2019        Honda               ACCORD        TC EL        1.5,Rp        513.000.000,Rp 527.000.000 (Cash),"Rp 10,45 jt/bln",30.464 km Automatic Jakarta Barat
21,2021        Wuling               ALMAZ        LT LUX CVT        1.5,Rp        280.000.000,Rp 288.000.000 (Cash),"Rp 5,71 jt/bln",18.872 km Automatic Surabaya
22,2020        Honda               BRIO        SATYA E        1.2,Rp        158.000.000,Rp 163.000.000 (Cash),"Rp 3,22 jt/bln",54.099 km Automatic Bogor
23,2021        Toyota               AVANZA        G TSS        1.5,Rp        240.000.000,Rp 247.000.000 (Cash),"Rp 4,89 jt/bln",19.997 km Automatic Surabaya
24,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        209.000.000,Rp 215.000.000 (Cash),"Rp 4,26 jt/bln",99.995 km Automatic Jakarta Barat
25,2020        Honda               BRIO        SATYA E        1.2,Rp        152.000.000,Rp 156.000.000 (Cash),"Rp 3,10 jt/bln",27.449 km Manual Jakarta Barat
26,,,,,
27,2019        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        216.000.000,Rp 222.000.000 (Cash),"Rp 4,40 jt/bln",53.524 km Automatic Depok
28,2020        Toyota               YARIS        S TRD        1.5,Rp        228.000.000,Rp 234.000.000 (Cash),"Rp 4,65 jt/bln",54.063 km Automatic Jakarta Timur
29,2021        Toyota               YARIS        S TRD        1.5,Rp        244.000.000,Rp 251.000.000 (Cash),"Rp 4,97 jt/bln",20.063 km Automatic Tangerang Selatan
30,2019        Honda               BRIO        RS        1.2,Rp        175.000.000,Rp 180.000.000 (Cash),"Rp 3,57 jt/bln",60.273 km Automatic Jakarta Timur
31,2019        Mitsubishi               XPANDER        SPORT        1.5,Rp        215.000.000,Rp 221.000.000 (Cash),"Rp 4,38 jt/bln",51.680 km Automatic Jakarta Utara
32,2017        Honda               MOBILIO        RS        1.5,Rp        175.000.000,Rp 180.000.000 (Cash),"Rp 3,57 jt/bln",72.718 km Automatic Jakarta Pusat
33,,,,,
34,2018        Mitsubishi               XPANDER        ULTIMATE        1.5,Rp        213.000.000,Rp 219.000.000 (Cash),"Rp 4,34 jt/bln",58.006 km Automatic Jakarta Selatan
35,2014        Nissan               SERENA        HIGHWAY STAR        2.0,Rp        173.000.000,Rp 178.000.000 (Cash),"Rp 3,52 jt/bln",102.993 km Automatic Surabaya
36,2017        Toyota               VOXY                2.0,Rp        369.000.000,Rp 379.000.000 (Cash),"Rp 7,52 jt/bln",80.853 km Automatic Jakarta Selatan
37,2020        Toyota               RUSH        S TRD SPORTIVO        1.5,Rp        227.000.000,Rp 233.000.000 (Cash),"Rp 4,63 jt/bln",17.174 km Manual Surabaya
38,2021        Toyota               AVANZA        G        1.3,Rp        190.000.000,Rp 195.000.000 (Cash),"Rp 3,87 jt/bln",2.951 km Manual Bekasi
39,2016        Honda               BRIO        RS        1.2,Rp        141.000.000,Rp 145.000.000 (Cash),"Rp 2,87 jt/bln",77.934 km Automatic Tangerang Selatan
